series_id,date,value,series_label
CPIAUCSL,1950-02-01,23.61,cpi_all_items
CPIAUCSL,1950-03-01,23.64,cpi_all_items
CPIAUCSL,1950-04-01,23.65,cpi_all_items
CPIAUCSL,1950-05-01,23.77,cpi_all_items
CPIAUCSL,1950-06-01,23.88,cpi_all_items
CPIAUCSL,1950-07-01,24.07,cpi_all_items
CPIAUCSL,1950-08-01,24.2,cpi_all_items
CPIAUCSL,1950-09-01,24.34,cpi_all_items
CPIAUCSL,1950-10-01,24.5,cpi_all_items
CPIAUCSL,1950-11-01,24.6,cpi_all_items
CPIAUCSL,1950-12-01,24.98,cpi_all_items
CPIAUCSL,1951-01-01,25.38,cpi_all_items
CPIAUCSL,1951-02-01,25.83,cpi_all_items
CPIAUCSL,1951-03-01,25.88,cpi_all_items
CPIAUCSL,1951-04-01,25.92,cpi_all_items
CPIAUCSL,1951-05-01,25.99,cpi_all_items
CPIAUCSL,1951-06-01,25.93,cpi_all_items
CPIAUCSL,1951-07-01,25.91,cpi_all_items
CPIAUCSL,1951-08-01,25.86,cpi_all_items
CPIAUCSL,1951-09-01,26.03,cpi_all_items
CPIAUCSL,1951-10-01,26.16,cpi_all_items
CPIAUCSL,1951-11-01,26.32,cpi_all_items
CPIAUCSL,1951-12-01,26.47,cpi_all_items
CPIAUCSL,1952-01-01,26.45,cpi_all_items
CPIAUCSL,1952-02-01,26.41,cpi_all_items
CPIAUCSL,1952-03-01,26.39,cpi_all_items
CPIAUCSL,1952-04-01,26.46,cpi_all_items
CPIAUCSL,1952-05-01,26.47,cpi_all_items
CPIAUCSL,1952-06-01,26.53,cpi_all_items
CPIAUCSL,1952-07-01,26.68,cpi_all_items
CPIAUCSL,1952-08-01,26.69,cpi_all_items
CPIAUCSL,1952-09-01,26.63,cpi_all_items
CPIAUCSL,1952-10-01,26.69,cpi_all_items
CPIAUCSL,1952-11-01,26.69,cpi_all_items
CPIAUCSL,1952-12-01,26.71,cpi_all_items
CPIAUCSL,1953-01-01,26.64,cpi_all_items
CPIAUCSL,1953-02-01,26.59,cpi_all_items
CPIAUCSL,1953-03-01,26.63,cpi_all_items
CPIAUCSL,1953-04-01,26.69,cpi_all_items
CPIAUCSL,1953-05-01,26.7,cpi_all_items
CPIAUCSL,1953-06-01,26.77,cpi_all_items
CPIAUCSL,1953-07-01,26.79,cpi_all_items
CPIAUCSL,1953-08-01,26.85,cpi_all_items
CPIAUCSL,1953-09-01,26.89,cpi_all_items
CPIAUCSL,1953-10-01,26.95,cpi_all_items
CPIAUCSL,1953-11-01,26.85,cpi_all_items
CPIAUCSL,1953-12-01,26.87,cpi_all_items
CPIAUCSL,1954-01-01,26.94,cpi_all_items
CPIAUCSL,1954-02-01,26.99,cpi_all_items
CPIAUCSL,1954-03-01,26.93,cpi_all_items
CPIAUCSL,1954-04-01,26.86,cpi_all_items
CPIAUCSL,1954-05-01,26.93,cpi_all_items
CPIAUCSL,1954-06-01,26.94,cpi_all_items
CPIAUCSL,1954-07-01,26.86,cpi_all_items
CPIAUCSL,1954-08-01,26.85,cpi_all_items
CPIAUCSL,1954-09-01,26.81,cpi_all_items
CPIAUCSL,1954-10-01,26.72,cpi_all_items
CPIAUCSL,1954-11-01,26.78,cpi_all_items
CPIAUCSL,1954-12-01,26.77,cpi_all_items
CPIAUCSL,1955-01-01,26.77,cpi_all_items
CPIAUCSL,1955-02-01,26.82,cpi_all_items
CPIAUCSL,1955-03-01,26.79,cpi_all_items
CPIAUCSL,1955-04-01,26.79,cpi_all_items
CPIAUCSL,1955-05-01,26.77,cpi_all_items
CPIAUCSL,1955-06-01,26.71,cpi_all_items
CPIAUCSL,1955-07-01,26.76,cpi_all_items
CPIAUCSL,1955-08-01,26.72,cpi_all_items
CPIAUCSL,1955-09-01,26.85,cpi_all_items
CPIAUCSL,1955-10-01,26.82,cpi_all_items
CPIAUCSL,1955-11-01,26.88,cpi_all_items
CPIAUCSL,1955-12-01,26.87,cpi_all_items
CPIAUCSL,1956-01-01,26.83,cpi_all_items
CPIAUCSL,1956-02-01,26.86,cpi_all_items
CPIAUCSL,1956-03-01,26.89,cpi_all_items
CPIAUCSL,1956-04-01,26.93,cpi_all_items
CPIAUCSL,1956-05-01,27.03,cpi_all_items
CPIAUCSL,1956-06-01,27.15,cpi_all_items
CPIAUCSL,1956-07-01,27.29,cpi_all_items
CPIAUCSL,1956-08-01,27.31,cpi_all_items
CPIAUCSL,1956-09-01,27.35,cpi_all_items
CPIAUCSL,1956-10-01,27.51,cpi_all_items
CPIAUCSL,1956-11-01,27.51,cpi_all_items
CPIAUCSL,1956-12-01,27.63,cpi_all_items
CPIAUCSL,1957-01-01,27.67,cpi_all_items
CPIAUCSL,1957-02-01,27.8,cpi_all_items
CPIAUCSL,1957-03-01,27.86,cpi_all_items
CPIAUCSL,1957-04-01,27.93,cpi_all_items
CPIAUCSL,1957-05-01,28.0,cpi_all_items
CPIAUCSL,1957-06-01,28.11,cpi_all_items
CPIAUCSL,1957-07-01,28.19,cpi_all_items
CPIAUCSL,1957-08-01,28.28,cpi_all_items
CPIAUCSL,1957-09-01,28.32,cpi_all_items
CPIAUCSL,1957-10-01,28.32,cpi_all_items
CPIAUCSL,1957-11-01,28.41,cpi_all_items
CPIAUCSL,1957-12-01,28.47,cpi_all_items
CPIAUCSL,1958-01-01,28.64,cpi_all_items
CPIAUCSL,1958-02-01,28.7,cpi_all_items
CPIAUCSL,1958-03-01,28.87,cpi_all_items
CPIAUCSL,1958-04-01,28.94,cpi_all_items
CPIAUCSL,1958-05-01,28.94,cpi_all_items
CPIAUCSL,1958-06-01,28.91,cpi_all_items
CPIAUCSL,1958-07-01,28.89,cpi_all_items
CPIAUCSL,1958-08-01,28.94,cpi_all_items
CPIAUCSL,1958-09-01,28.91,cpi_all_items
CPIAUCSL,1958-10-01,28.91,cpi_all_items
CPIAUCSL,1958-11-01,28.95,cpi_all_items
CPIAUCSL,1958-12-01,28.97,cpi_all_items
CPIAUCSL,1959-01-01,29.01,cpi_all_items
CPIAUCSL,1959-02-01,29.0,cpi_all_items
CPIAUCSL,1959-03-01,28.97,cpi_all_items
CPIAUCSL,1959-04-01,28.98,cpi_all_items
CPIAUCSL,1959-05-01,29.04,cpi_all_items
CPIAUCSL,1959-06-01,29.11,cpi_all_items
CPIAUCSL,1959-07-01,29.15,cpi_all_items
CPIAUCSL,1959-08-01,29.18,cpi_all_items
CPIAUCSL,1959-09-01,29.25,cpi_all_items
CPIAUCSL,1959-10-01,29.35,cpi_all_items
CPIAUCSL,1959-11-01,29.35,cpi_all_items
CPIAUCSL,1959-12-01,29.41,cpi_all_items
CPIAUCSL,1960-01-01,29.37,cpi_all_items
CPIAUCSL,1960-02-01,29.41,cpi_all_items
CPIAUCSL,1960-03-01,29.41,cpi_all_items
CPIAUCSL,1960-04-01,29.54,cpi_all_items
CPIAUCSL,1960-05-01,29.57,cpi_all_items
CPIAUCSL,1960-06-01,29.61,cpi_all_items
CPIAUCSL,1960-07-01,29.55,cpi_all_items
CPIAUCSL,1960-08-01,29.61,cpi_all_items
CPIAUCSL,1960-09-01,29.61,cpi_all_items
CPIAUCSL,1960-10-01,29.75,cpi_all_items
CPIAUCSL,1960-11-01,29.78,cpi_all_items
CPIAUCSL,1960-12-01,29.81,cpi_all_items
CPIAUCSL,1961-01-01,29.84,cpi_all_items
CPIAUCSL,1961-02-01,29.84,cpi_all_items
CPIAUCSL,1961-03-01,29.84,cpi_all_items
CPIAUCSL,1961-04-01,29.81,cpi_all_items
CPIAUCSL,1961-05-01,29.84,cpi_all_items
CPIAUCSL,1961-06-01,29.84,cpi_all_items
CPIAUCSL,1961-07-01,29.92,cpi_all_items
CPIAUCSL,1961-08-01,29.94,cpi_all_items
CPIAUCSL,1961-09-01,29.98,cpi_all_items
CPIAUCSL,1961-10-01,29.98,cpi_all_items
CPIAUCSL,1961-11-01,29.98,cpi_all_items
CPIAUCSL,1961-12-01,30.01,cpi_all_items
CPIAUCSL,1962-01-01,30.04,cpi_all_items
CPIAUCSL,1962-02-01,30.11,cpi_all_items
CPIAUCSL,1962-03-01,30.17,cpi_all_items
CPIAUCSL,1962-04-01,30.21,cpi_all_items
CPIAUCSL,1962-05-01,30.24,cpi_all_items
CPIAUCSL,1962-06-01,30.21,cpi_all_items
CPIAUCSL,1962-07-01,30.22,cpi_all_items
CPIAUCSL,1962-08-01,30.28,cpi_all_items
CPIAUCSL,1962-09-01,30.42,cpi_all_items
CPIAUCSL,1962-10-01,30.38,cpi_all_items
CPIAUCSL,1962-11-01,30.38,cpi_all_items
CPIAUCSL,1962-12-01,30.38,cpi_all_items
CPIAUCSL,1963-01-01,30.44,cpi_all_items
CPIAUCSL,1963-02-01,30.48,cpi_all_items
CPIAUCSL,1963-03-01,30.51,cpi_all_items
CPIAUCSL,1963-04-01,30.48,cpi_all_items
CPIAUCSL,1963-05-01,30.51,cpi_all_items
CPIAUCSL,1963-06-01,30.61,cpi_all_items
CPIAUCSL,1963-07-01,30.69,cpi_all_items
CPIAUCSL,1963-08-01,30.75,cpi_all_items
CPIAUCSL,1963-09-01,30.72,cpi_all_items
CPIAUCSL,1963-10-01,30.75,cpi_all_items
CPIAUCSL,1963-11-01,30.78,cpi_all_items
CPIAUCSL,1963-12-01,30.88,cpi_all_items
CPIAUCSL,1964-01-01,30.94,cpi_all_items
CPIAUCSL,1964-02-01,30.91,cpi_all_items
CPIAUCSL,1964-03-01,30.94,cpi_all_items
CPIAUCSL,1964-04-01,30.95,cpi_all_items
CPIAUCSL,1964-05-01,30.98,cpi_all_items
CPIAUCSL,1964-06-01,31.01,cpi_all_items
CPIAUCSL,1964-07-01,31.02,cpi_all_items
CPIAUCSL,1964-08-01,31.05,cpi_all_items
CPIAUCSL,1964-09-01,31.08,cpi_all_items
CPIAUCSL,1964-10-01,31.12,cpi_all_items
CPIAUCSL,1964-11-01,31.21,cpi_all_items
CPIAUCSL,1964-12-01,31.25,cpi_all_items
CPIAUCSL,1965-01-01,31.28,cpi_all_items
CPIAUCSL,1965-02-01,31.28,cpi_all_items
CPIAUCSL,1965-03-01,31.31,cpi_all_items
CPIAUCSL,1965-04-01,31.38,cpi_all_items
CPIAUCSL,1965-05-01,31.48,cpi_all_items
CPIAUCSL,1965-06-01,31.61,cpi_all_items
CPIAUCSL,1965-07-01,31.58,cpi_all_items
CPIAUCSL,1965-08-01,31.55,cpi_all_items
CPIAUCSL,1965-09-01,31.62,cpi_all_items
CPIAUCSL,1965-10-01,31.65,cpi_all_items
CPIAUCSL,1965-11-01,31.75,cpi_all_items
CPIAUCSL,1965-12-01,31.85,cpi_all_items
CPIAUCSL,1966-01-01,31.88,cpi_all_items
CPIAUCSL,1966-02-01,32.08,cpi_all_items
CPIAUCSL,1966-03-01,32.18,cpi_all_items
CPIAUCSL,1966-04-01,32.28,cpi_all_items
CPIAUCSL,1966-05-01,32.35,cpi_all_items
CPIAUCSL,1966-06-01,32.38,cpi_all_items
CPIAUCSL,1966-07-01,32.45,cpi_all_items
CPIAUCSL,1966-08-01,32.65,cpi_all_items
CPIAUCSL,1966-09-01,32.75,cpi_all_items
CPIAUCSL,1966-10-01,32.85,cpi_all_items
CPIAUCSL,1966-11-01,32.88,cpi_all_items
CPIAUCSL,1966-12-01,32.92,cpi_all_items
CPIAUCSL,1967-01-01,32.9,cpi_all_items
CPIAUCSL,1967-02-01,33.0,cpi_all_items
CPIAUCSL,1967-03-01,33.0,cpi_all_items
CPIAUCSL,1967-04-01,33.1,cpi_all_items
CPIAUCSL,1967-05-01,33.1,cpi_all_items
CPIAUCSL,1967-06-01,33.3,cpi_all_items
CPIAUCSL,1967-07-01,33.4,cpi_all_items
CPIAUCSL,1967-08-01,33.5,cpi_all_items
CPIAUCSL,1967-09-01,33.6,cpi_all_items
CPIAUCSL,1967-10-01,33.7,cpi_all_items
CPIAUCSL,1967-11-01,33.9,cpi_all_items
CPIAUCSL,1967-12-01,34.0,cpi_all_items
CPIAUCSL,1968-01-01,34.1,cpi_all_items
CPIAUCSL,1968-02-01,34.2,cpi_all_items
CPIAUCSL,1968-03-01,34.3,cpi_all_items
CPIAUCSL,1968-04-01,34.4,cpi_all_items
CPIAUCSL,1968-05-01,34.5,cpi_all_items
CPIAUCSL,1968-06-01,34.7,cpi_all_items
CPIAUCSL,1968-07-01,34.9,cpi_all_items
CPIAUCSL,1968-08-01,35.0,cpi_all_items
CPIAUCSL,1968-09-01,35.1,cpi_all_items
CPIAUCSL,1968-10-01,35.3,cpi_all_items
CPIAUCSL,1968-11-01,35.4,cpi_all_items
CPIAUCSL,1968-12-01,35.6,cpi_all_items
CPIAUCSL,1969-01-01,35.7,cpi_all_items
CPIAUCSL,1969-02-01,35.8,cpi_all_items
CPIAUCSL,1969-03-01,36.1,cpi_all_items
CPIAUCSL,1969-04-01,36.3,cpi_all_items
CPIAUCSL,1969-05-01,36.4,cpi_all_items
CPIAUCSL,1969-06-01,36.6,cpi_all_items
CPIAUCSL,1969-07-01,36.8,cpi_all_items
CPIAUCSL,1969-08-01,36.9,cpi_all_items
CPIAUCSL,1969-09-01,37.1,cpi_all_items
CPIAUCSL,1969-10-01,37.3,cpi_all_items
CPIAUCSL,1969-11-01,37.5,cpi_all_items
CPIAUCSL,1969-12-01,37.7,cpi_all_items
CPIAUCSL,1970-01-01,37.9,cpi_all_items
CPIAUCSL,1970-02-01,38.1,cpi_all_items
CPIAUCSL,1970-03-01,38.3,cpi_all_items
CPIAUCSL,1970-04-01,38.5,cpi_all_items
CPIAUCSL,1970-05-01,38.6,cpi_all_items
CPIAUCSL,1970-06-01,38.8,cpi_all_items
CPIAUCSL,1970-07-01,38.9,cpi_all_items
CPIAUCSL,1970-08-01,39.0,cpi_all_items
CPIAUCSL,1970-09-01,39.2,cpi_all_items
CPIAUCSL,1970-10-01,39.4,cpi_all_items
CPIAUCSL,1970-11-01,39.6,cpi_all_items
CPIAUCSL,1970-12-01,39.8,cpi_all_items
CPIAUCSL,1971-01-01,39.9,cpi_all_items
CPIAUCSL,1971-02-01,39.9,cpi_all_items
CPIAUCSL,1971-03-01,40.0,cpi_all_items
CPIAUCSL,1971-04-01,40.1,cpi_all_items
CPIAUCSL,1971-05-01,40.3,cpi_all_items
CPIAUCSL,1971-06-01,40.5,cpi_all_items
CPIAUCSL,1971-07-01,40.6,cpi_all_items
CPIAUCSL,1971-08-01,40.7,cpi_all_items
CPIAUCSL,1971-09-01,40.8,cpi_all_items
CPIAUCSL,1971-10-01,40.9,cpi_all_items
CPIAUCSL,1971-11-01,41.0,cpi_all_items
CPIAUCSL,1971-12-01,41.1,cpi_all_items
CPIAUCSL,1972-01-01,41.2,cpi_all_items
CPIAUCSL,1972-02-01,41.4,cpi_all_items
CPIAUCSL,1972-03-01,41.4,cpi_all_items
CPIAUCSL,1972-04-01,41.5,cpi_all_items
CPIAUCSL,1972-05-01,41.6,cpi_all_items
CPIAUCSL,1972-06-01,41.7,cpi_all_items
CPIAUCSL,1972-07-01,41.8,cpi_all_items
CPIAUCSL,1972-08-01,41.9,cpi_all_items
CPIAUCSL,1972-09-01,42.1,cpi_all_items
CPIAUCSL,1972-10-01,42.2,cpi_all_items
CPIAUCSL,1972-11-01,42.4,cpi_all_items
CPIAUCSL,1972-12-01,42.5,cpi_all_items
CPIAUCSL,1973-01-01,42.7,cpi_all_items
CPIAUCSL,1973-02-01,43.0,cpi_all_items
CPIAUCSL,1973-03-01,43.4,cpi_all_items
CPIAUCSL,1973-04-01,43.7,cpi_all_items
CPIAUCSL,1973-05-01,43.9,cpi_all_items
CPIAUCSL,1973-06-01,44.2,cpi_all_items
CPIAUCSL,1973-07-01,44.2,cpi_all_items
CPIAUCSL,1973-08-01,45.0,cpi_all_items
CPIAUCSL,1973-09-01,45.2,cpi_all_items
CPIAUCSL,1973-10-01,45.6,cpi_all_items
CPIAUCSL,1973-11-01,45.9,cpi_all_items
CPIAUCSL,1973-12-01,46.3,cpi_all_items
CPIAUCSL,1974-01-01,46.8,cpi_all_items
CPIAUCSL,1974-02-01,47.3,cpi_all_items
CPIAUCSL,1974-03-01,47.8,cpi_all_items
CPIAUCSL,1974-04-01,48.1,cpi_all_items
CPIAUCSL,1974-05-01,48.6,cpi_all_items
CPIAUCSL,1974-06-01,49.0,cpi_all_items
CPIAUCSL,1974-07-01,49.3,cpi_all_items
CPIAUCSL,1974-08-01,49.9,cpi_all_items
CPIAUCSL,1974-09-01,50.6,cpi_all_items
CPIAUCSL,1974-10-01,51.0,cpi_all_items
CPIAUCSL,1974-11-01,51.5,cpi_all_items
CPIAUCSL,1974-12-01,51.9,cpi_all_items
CPIAUCSL,1975-01-01,52.3,cpi_all_items
CPIAUCSL,1975-02-01,52.6,cpi_all_items
CPIAUCSL,1975-03-01,52.8,cpi_all_items
CPIAUCSL,1975-04-01,53.0,cpi_all_items
CPIAUCSL,1975-05-01,53.1,cpi_all_items
CPIAUCSL,1975-06-01,53.5,cpi_all_items
CPIAUCSL,1975-07-01,54.0,cpi_all_items
CPIAUCSL,1975-08-01,54.2,cpi_all_items
CPIAUCSL,1975-09-01,54.6,cpi_all_items
CPIAUCSL,1975-10-01,54.9,cpi_all_items
CPIAUCSL,1975-11-01,55.3,cpi_all_items
CPIAUCSL,1975-12-01,55.6,cpi_all_items
CPIAUCSL,1976-01-01,55.8,cpi_all_items
CPIAUCSL,1976-02-01,55.9,cpi_all_items
CPIAUCSL,1976-03-01,56.0,cpi_all_items
CPIAUCSL,1976-04-01,56.1,cpi_all_items
CPIAUCSL,1976-05-01,56.4,cpi_all_items
CPIAUCSL,1976-06-01,56.7,cpi_all_items
CPIAUCSL,1976-07-01,57.0,cpi_all_items
CPIAUCSL,1976-08-01,57.3,cpi_all_items
CPIAUCSL,1976-09-01,57.6,cpi_all_items
CPIAUCSL,1976-10-01,57.9,cpi_all_items
CPIAUCSL,1976-11-01,58.1,cpi_all_items
CPIAUCSL,1976-12-01,58.4,cpi_all_items
CPIAUCSL,1977-01-01,58.7,cpi_all_items
CPIAUCSL,1977-02-01,59.3,cpi_all_items
CPIAUCSL,1977-03-01,59.6,cpi_all_items
CPIAUCSL,1977-04-01,60.0,cpi_all_items
CPIAUCSL,1977-05-01,60.2,cpi_all_items
CPIAUCSL,1977-06-01,60.5,cpi_all_items
CPIAUCSL,1977-07-01,60.8,cpi_all_items
CPIAUCSL,1977-08-01,61.1,cpi_all_items
CPIAUCSL,1977-09-01,61.3,cpi_all_items
CPIAUCSL,1977-10-01,61.6,cpi_all_items
CPIAUCSL,1977-11-01,62.0,cpi_all_items
CPIAUCSL,1977-12-01,62.3,cpi_all_items
CPIAUCSL,1978-01-01,62.7,cpi_all_items
CPIAUCSL,1978-02-01,63.0,cpi_all_items
CPIAUCSL,1978-03-01,63.4,cpi_all_items
CPIAUCSL,1978-04-01,63.9,cpi_all_items
CPIAUCSL,1978-05-01,64.5,cpi_all_items
CPIAUCSL,1978-06-01,65.0,cpi_all_items
CPIAUCSL,1978-07-01,65.5,cpi_all_items
CPIAUCSL,1978-08-01,65.9,cpi_all_items
CPIAUCSL,1978-09-01,66.5,cpi_all_items
CPIAUCSL,1978-10-01,67.1,cpi_all_items
CPIAUCSL,1978-11-01,67.5,cpi_all_items
CPIAUCSL,1978-12-01,67.9,cpi_all_items
CPIAUCSL,1979-01-01,68.5,cpi_all_items
CPIAUCSL,1979-02-01,69.2,cpi_all_items
CPIAUCSL,1979-03-01,69.9,cpi_all_items
CPIAUCSL,1979-04-01,70.6,cpi_all_items
CPIAUCSL,1979-05-01,71.4,cpi_all_items
CPIAUCSL,1979-06-01,72.2,cpi_all_items
CPIAUCSL,1979-07-01,73.0,cpi_all_items
CPIAUCSL,1979-08-01,73.7,cpi_all_items
CPIAUCSL,1979-09-01,74.4,cpi_all_items
CPIAUCSL,1979-10-01,75.2,cpi_all_items
CPIAUCSL,1979-11-01,76.0,cpi_all_items
CPIAUCSL,1979-12-01,76.9,cpi_all_items
CPIAUCSL,1980-01-01,78.0,cpi_all_items
CPIAUCSL,1980-02-01,79.0,cpi_all_items
CPIAUCSL,1980-03-01,80.1,cpi_all_items
CPIAUCSL,1980-04-01,80.9,cpi_all_items
CPIAUCSL,1980-05-01,81.7,cpi_all_items
CPIAUCSL,1980-06-01,82.5,cpi_all_items
CPIAUCSL,1980-07-01,82.6,cpi_all_items
CPIAUCSL,1980-08-01,83.2,cpi_all_items
CPIAUCSL,1980-09-01,83.9,cpi_all_items
CPIAUCSL,1980-10-01,84.7,cpi_all_items
CPIAUCSL,1980-11-01,85.6,cpi_all_items
CPIAUCSL,1980-12-01,86.4,cpi_all_items
CPIAUCSL,1981-01-01,87.2,cpi_all_items
CPIAUCSL,1981-02-01,88.0,cpi_all_items
CPIAUCSL,1981-03-01,88.6,cpi_all_items
CPIAUCSL,1981-04-01,89.1,cpi_all_items
CPIAUCSL,1981-05-01,89.7,cpi_all_items
CPIAUCSL,1981-06-01,90.5,cpi_all_items
CPIAUCSL,1981-07-01,91.5,cpi_all_items
CPIAUCSL,1981-08-01,92.2,cpi_all_items
CPIAUCSL,1981-09-01,93.1,cpi_all_items
CPIAUCSL,1981-10-01,93.4,cpi_all_items
CPIAUCSL,1981-11-01,93.8,cpi_all_items
CPIAUCSL,1981-12-01,94.1,cpi_all_items
CPIAUCSL,1982-01-01,94.4,cpi_all_items
CPIAUCSL,1982-02-01,94.7,cpi_all_items
CPIAUCSL,1982-03-01,94.7,cpi_all_items
CPIAUCSL,1982-04-01,95.0,cpi_all_items
CPIAUCSL,1982-05-01,95.9,cpi_all_items
CPIAUCSL,1982-06-01,97.0,cpi_all_items
CPIAUCSL,1982-07-01,97.5,cpi_all_items
CPIAUCSL,1982-08-01,97.7,cpi_all_items
CPIAUCSL,1982-09-01,97.7,cpi_all_items
CPIAUCSL,1982-10-01,98.1,cpi_all_items
CPIAUCSL,1982-11-01,98.0,cpi_all_items
CPIAUCSL,1982-12-01,97.7,cpi_all_items
CPIAUCSL,1983-01-01,97.9,cpi_all_items
CPIAUCSL,1983-02-01,98.0,cpi_all_items
CPIAUCSL,1983-03-01,98.1,cpi_all_items
CPIAUCSL,1983-04-01,98.8,cpi_all_items
CPIAUCSL,1983-05-01,99.2,cpi_all_items
CPIAUCSL,1983-06-01,99.4,cpi_all_items
CPIAUCSL,1983-07-01,99.8,cpi_all_items
CPIAUCSL,1983-08-01,100.1,cpi_all_items
CPIAUCSL,1983-09-01,100.4,cpi_all_items
CPIAUCSL,1983-10-01,100.8,cpi_all_items
CPIAUCSL,1983-11-01,101.1,cpi_all_items
CPIAUCSL,1983-12-01,101.4,cpi_all_items
CPIAUCSL,1984-01-01,102.1,cpi_all_items
CPIAUCSL,1984-02-01,102.6,cpi_all_items
CPIAUCSL,1984-03-01,102.9,cpi_all_items
CPIAUCSL,1984-04-01,103.3,cpi_all_items
CPIAUCSL,1984-05-01,103.5,cpi_all_items
CPIAUCSL,1984-06-01,103.7,cpi_all_items
CPIAUCSL,1984-07-01,104.1,cpi_all_items
CPIAUCSL,1984-08-01,104.4,cpi_all_items
CPIAUCSL,1984-09-01,104.7,cpi_all_items
CPIAUCSL,1984-10-01,105.1,cpi_all_items
CPIAUCSL,1984-11-01,105.3,cpi_all_items
CPIAUCSL,1984-12-01,105.5,cpi_all_items
CPIAUCSL,1985-01-01,105.7,cpi_all_items
CPIAUCSL,1985-02-01,106.3,cpi_all_items
CPIAUCSL,1985-03-01,106.8,cpi_all_items
CPIAUCSL,1985-04-01,107.0,cpi_all_items
CPIAUCSL,1985-05-01,107.2,cpi_all_items
CPIAUCSL,1985-06-01,107.5,cpi_all_items
CPIAUCSL,1985-07-01,107.7,cpi_all_items
CPIAUCSL,1985-08-01,107.9,cpi_all_items
CPIAUCSL,1985-09-01,108.1,cpi_all_items
CPIAUCSL,1985-10-01,108.5,cpi_all_items
CPIAUCSL,1985-11-01,109.0,cpi_all_items
CPIAUCSL,1985-12-01,109.5,cpi_all_items
CPIAUCSL,1986-01-01,109.9,cpi_all_items
CPIAUCSL,1986-02-01,109.7,cpi_all_items
CPIAUCSL,1986-03-01,109.1,cpi_all_items
CPIAUCSL,1986-04-01,108.7,cpi_all_items
CPIAUCSL,1986-05-01,109.0,cpi_all_items
CPIAUCSL,1986-06-01,109.4,cpi_all_items
CPIAUCSL,1986-07-01,109.5,cpi_all_items
CPIAUCSL,1986-08-01,109.6,cpi_all_items
CPIAUCSL,1986-09-01,110.0,cpi_all_items
CPIAUCSL,1986-10-01,110.2,cpi_all_items
CPIAUCSL,1986-11-01,110.4,cpi_all_items
CPIAUCSL,1986-12-01,110.8,cpi_all_items
CPIAUCSL,1987-01-01,111.4,cpi_all_items
CPIAUCSL,1987-02-01,111.8,cpi_all_items
CPIAUCSL,1987-03-01,112.2,cpi_all_items
CPIAUCSL,1987-04-01,112.7,cpi_all_items
CPIAUCSL,1987-05-01,113.0,cpi_all_items
CPIAUCSL,1987-06-01,113.5,cpi_all_items
CPIAUCSL,1987-07-01,113.8,cpi_all_items
CPIAUCSL,1987-08-01,114.3,cpi_all_items
CPIAUCSL,1987-09-01,114.7,cpi_all_items
CPIAUCSL,1987-10-01,115.0,cpi_all_items
CPIAUCSL,1987-11-01,115.4,cpi_all_items
CPIAUCSL,1987-12-01,115.6,cpi_all_items
CPIAUCSL,1988-01-01,116.0,cpi_all_items
CPIAUCSL,1988-02-01,116.2,cpi_all_items
CPIAUCSL,1988-03-01,116.5,cpi_all_items
CPIAUCSL,1988-04-01,117.2,cpi_all_items
CPIAUCSL,1988-05-01,117.5,cpi_all_items
CPIAUCSL,1988-06-01,118.0,cpi_all_items
CPIAUCSL,1988-07-01,118.5,cpi_all_items
